FID,geom,id,nome,tipo,oferta,inep,endereco,numero,bairro,cod_bairro,CEP,territorio,distrito,sefor,regional,telefone,email,UTM_E,UTM_N,fonte,ano_ref,espg_codif
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_647f,POINT (-38.508826383739915 -3.8550811952624118),1,MÁRIO ALENCAR,EEEP,M,23323434,RUA VERDE 44,97,JANGURUSSU,61,60876-670,32,6,2,SR9,3275-6593,MARIOALENCAR@ESCOLA.CE.GOV.BR,554533.14,9573875.53,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64f7,POINT (-38.498384006890255 -3.73340626612696),121,PARÓQUIA DA PAZ,EEFM,F2/M,23068973,RUA VISCONDE DE MAUÁ,905,ALDEOTA,2,60125-160,7,2,2,SR2,3101-1394,PPAZ@ESCOLA.CE.GOV.BR,555700.34,9587324.69,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64f8,POINT (-38.523559772888845 -3.736748489377178),122,VISCONDE DO RIO BRANCO,EEMTI,M,23078529,AVENIDA DOM MANUEL,1803,CENTRO,10,60060-091,1,2,2,SR12,3101-7638,VRBRANCO@ESCOLA.CE.GOV.BR,552904.51,9586956.80,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64f9,POINT (-38.520904028271275 -3.728694417387662),123,CLÓVIS BEVILÁQUA,EEFM,F2/M,23067268,AVENIDA DOM MANUEL,511,CENTRO,10,60060-090,1,2,2,SR12,3101-5080,CBEVILAQUA@ESCOLA.CE.GOV.BR,553199.90,9587846.93,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64fa,POINT (-38.52296512813737 -3.728916084266318),124,COLÉGIO ESTADUAL JUSTINIANO DE SERPA,COLÉGIO ESTADUAL,M,23072865,AVENIDA SANTOS DUMONT,56,CENTRO,10,60150-160,1,2,2,SR12,3101-5093,JSERPA@ESCOLA.CE.GOV.BR,552971.01,9587822.55,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64fb,POINT (-38.53934156985779 -3.7335273772169124),125,DOUTOR CESAR CALS,EEM,M,23186488,AVENIDA DOMINGOS OLÍMPIO,1800,FARIAS BRITO,15,60040-081,13,1,1,SR3,3101-2379/3214-4048,CCALS@ESCOLA.CE.GOV.BR,551152.23,9587313.79,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64fc,POINT (-38.54857710424166 -3.7327567238485617),126,PRESIDENTE ROOSEVELT,EEEP,M,23077174,AVENIDA BEZERRA DE MENEZES,435,PARQUE ARAXÁ,28,60325-000,14,3,1,SR3,3101-2254,PROOSEVELT@ESCOLA.CE.GOV.BR,550126.73,9587399.51,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64fd,POINT (-38.56502702276842 -3.732339198050339),127,PAULO FREIRE,CEJA,F2/M,23227885,AVENIDA OLAVO BILAC,1300,PRESIDENTE KENNEDY,33,60320-000,12,3,1,SR3,3101-2700,CEJAPFREIRE@ESCOLA.CE.GOV.BR,548300.09,9587446.58,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64fe,POINT (-38.57814037956932 -3.7359810313673756),128,HERMÍNIO BARROSO,EEMTI,M,23071010,RUA PE. GUILHERME WASSEN,800,PADRE ANDRADE,47,60356-360,12,3,1,SR3,3101-2703,HBARROSO@ESCOLA.CE.GOV.BR,546843.74,9587044.73,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_64ff,POINT (-38.58086098925277 -3.731600376489482),129,MONSENHOR DOURADO,EEMTI,M,23068078,AVENIDA SARGENTO HERMÍNIO,4600,PADRE ANDRADE,47,60356-392,12,3,1,SR3,3101-2706,MDOURADO@ESCOLA.CE.GOV.BR,546541.87,9587529.10,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6500,POINT (-38.58806891635784 -3.7368160767454164),130,JOSÉ BEZERRA DE MENEZES,EEFM,F2/M,23072237,RUA ANÁRIO BRAGA,200,ANTÔNIO BEZERRA,40,60350-350,11,3,1,SR3,3101-5082,JBEZERRA@ESCOLA.CE.GOV.BR,545741.20,9586952.95,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6501,POINT (-38.597578729838595 -3.7325911416523962),131,MARIA JOSÉ SANTOS FERREIRA GOMES,EEMTI,F2/M,23188545,RUA DONA LÚCIA PINHEIRO,93,QUINTINO CUNHA,48,60352-670,11,3,1,SR3,3101-7634/3479-0028,CEREMJOSE@ESCOLA.CE.GOV.BR,544685.42,9587420.45,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6502,POINT (-38.60123968306861 -3.732146135176637),132,JESUS MARIA JOSÉ,EEFM,F2/M,23071664,RUA DA MANGUEIRA,134,QUINTINO CUNHA,48,60352-630,11,3,1,SR3,3101-2698,JMJOSE@ESCOLA.CE.GOV.BR,544278.92,9587469.83,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6503,POINT (-38.47481263254634 -3.727497079591414),133,GENERAL MURILO BORGES MOREIRA,EEM,M,23075023,RUA DO ENTARDECER,90,VICENTE PINZÓN,37,60181-190,9,2,2,SR2,3101-1390,MBORGES@ESCOLA.CE.GOV.BR,558318.21,9587976.36,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6504,POINT (-38.47892083123757 -3.726847982529436),134,MATIAS BECK,EEMTI,M,23068930,RUA PROFESSORA AIDA BALAIO,38,VICENTE PINZÓN,37,60181-274,9,2,2,SR2,3101-7072/98820-7187,MBECK@ESCOLA.CE.GOV.BR,557862.06,9588048.38,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6505,POINT (-38.48391914150702 -3.7261001220995236),135,DRAGÃO DO MAR,EEMTI,M,23068086,RUA UMARI,S/N,MUCURIPE,26,60175-280,9,2,2,SR2,3101-1392,DMAR@ESCOLA.CE.GOV.BR,557307.06,9588131.38,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6506,POINT (-38.487583284371475 -3.7278704927190534),136,BÁRBARA DE ALENCAR,EEFM,F2/M,23065842,RUA PEDRO RUFINO,38,MUCURIPE,26,60175-100,9,2,2,SR2,3101-7071,BARBARAALENCAR@YAHOO.COM.BR,556900.06,9587935.92,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6507,POINT (-38.513223822229584 -3.72677147135744),137,SANTA LUZIA,EEFM,F2/M,23069171,RUA JOÃO CORDEIRO,711,MEIRELES,24,60110-300,7,2,2,SR2,3101-5085,SLUZIA@ESCOLA.CE.GOV.BR,554052.87,9588059.02,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6508,POINT (-38.535586681662274 -3.72495782725712),138,PROFESSOR GILMAR MAIA DE SOUSA,CEJA,F2/M,23066920,RUA ESTEFÂNIA SALGADO,80,CENTRO,10,60015-070,1,2,2,SR12,3101-5073/3212-1140,CEJAGMSOUSA@ESCOLA.CE.GOV.BR,551569.69,9588260.84,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6509,POINT (-38.541118057933154 -3.724367680975746),139,COLÉGIO ESTADUAL LICEU DO CEARÁ,EEMTI,M,23073039,PRAÇA GUSTAVO BARROSO,S/N,CENTRO,10,60010-700,1,2,2,SR12,3101-2262,LCEARA@ESCOLA.CE.GOV.BR,550955.49,9588326.39,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_650a,POINT (-38.54513995737336 -3.7219522940689087),140,COLÉGIO MILITAR DO CORPO DE BOMBEIROS ESCRITORA RACHEL DE QUEIROZ,COLÉGIO MILITAR,F1/F2/M,23215534,RUA ADRIANO MARTINS,436,JACARECANGA,18,60010-590,5,1,1,SR1,3101-2266,CBOMBEIROS@ESCOLA.CE.GOV.BR,550509.02,9588593.62,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_650b,POINT (-38.55098365946073 -3.725918928181376),141,CLÁUDIO MARTINS,EEMTI,M,23067233,RUA DEMÓCRITO ROCHA,400,MONTE CASTELO,25,60325-200,13,1,1,SR3,3101-2258,CMARTINS@ESCOLA.CE.GOV.BR,549859.88,9588155.48,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_650c,POINT (-38.55886058615091 -3.7254541104210106),142,DONA CREUSA DO CARMO ROCHA,EEEP,M,23187956,AVENIDA SARGENTO HERMÍNIO,2006,MONTE CASTELO,25,60350-550,13,1,1,SR3,3101-2265,CCARMO@ESCOLA.CE.GOV.BR,548985.21,9588207.31,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_650d,POINT (-38.58088974411894 -3.7239709127604264),143,PROFESSORA BALBINA JUCÁ DE ALBUQUERQUE,EEMTI,F2/M,23069031,AVENIDA MAJOR ASSIS,346,FLORESTA,17,60340-065,6,1,1,SR1,3101-2697,BJUCA@ESCOLA.CE.GOV.BR,546539.07,9588372.45,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_650e,POINT (-38.58666701594549 -3.7234256894992703),144,DEPUTADO FRANCISCO DE ALMEIDA MONTE,EEM,M,23069961,AVENIDA CORONEL CARVALHO,2400,JARDIM GUANABARA,20,60346-164,2,1,1,SR1,3101-2692,AMONTE@ESCOLA.CE.GOV.BR,545897.57,9588433.02,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_650f,POINT (-38.589164896638316 -3.7268342151208587),145,DOM HÉLDER CÂMARA,EEM,M,23225491,RUA ROSINHA SAMPAIO,1157,JARDIM GUANABARA,20,60346-251,2,1,1,SR1,3101-5584,DHELDER@ESCOLA.CE.GOV.BR,545620.02,9588056.38,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6510,POINT (-38.468694431375916 -3.7110679463174305),146,HELENITA MOTA,EEFM,F2/M,23070897,RUA AMÂNCIO FILOMENO,720,CAIS DO PORTO,110,60180-320,9,2,2,SR2,3101-1389,WWW.HMOTA@ESCOLA.CE.GOV.BR,558998.71,9589792.02,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6511,POINT (-38.54677463013065 -3.7175237574038316),147,SALES CAMPOS,EEFM,F2/M,23077387,RUA JACINTO DE MATOS,730,JACARECANGA,18,60310-210,5,1,1,SR1,3101-2390,SCAMPOS@ESCOLA.CE.GOV.BR,550327.74,9589083.23,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6512,POINT (-38.55003476985127 -3.7121761630145524),148,MOEMA TÁVORA,CENTRO EDUCACIONAL,F2/M,23074701,RUA MARCÍLIO DIAS,485,PIRAMBU,31,60310-750,4,1,1,SR1,3101-2386,MTAVORA@ESCOLA.CE.GOV.BR,549966.02,9589674.53,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6513,POINT (-38.55832268790902 -3.7109710348189866),149,GOVERNADOR FLÁVIO MARCÍLIO,EEM,M,23070269,AVENIDA PASTEUR,575,PIRAMBU,31,60335-000,4,1,1,SR1,3101-2794,FMARCILIO@ESCOLA.CE.GOV.BR,549045.74,9589808.21,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6514,POINT (-38.56731862309009 -3.712718045568538),150,JOSÉ VALDO RIBEIRO RAMOS,EEMTI,M,23072571,RUA PEDRO AMÉRICO,100,ÁLVARO WEYNE,3,60337-220,6,1,1,SR1,3101-2872,WRAMOS@ESCOLA.CE.GOV.BR,548046.68,9589615.59,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6515,POINT (-38.57048866180021 -3.717137286014515),151,WALDEMAR FALCÃO,EEMTI,M,23078561,RUA ANTÔNIO JOAQUIM DE CARVALHO,19,ÁLVARO WEYNE,3,60336-001,6,1,1,SR1,3101-2690,VFALCAO@ESCOLA.CE.GOV.BR,547694.42,9589127.27,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6516,POINT (-38.594606305879616 -3.7106935511803165),152,DONA MARIA MENEZES DE SERPA,EEFM,F2/M,23073721,RUA DR. QUIXADÁ FELÍCIO,141,VILA VELHA,39,60347-470,2,1,1,SR1,3101-2695,MMSERPA@ESCOLA.CE.GOV.BR,545016.60,9589840.81,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6517,POINT (-38.597353036703964 -3.7145197421157503),153,DONA HILZA DIOGO DE OLIVEIRA,EEM,M,23071044,AVENIDA DOM ALOÍSIO LORSCHEIDER,1040,VILA VELHA,39,60347-780,2,1,1,SR1,3101-7829,HDIOGO@ESCOLA.CE.GOV.BR,544711.39,9589418.01,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6518,POINT (-38.5996150793851 -3.711457949509329),154,LICEU VILA VELHA,EEMTI,M,23225408,AVENIDA L,840,VILA VELHA,39,60348-300,2,1,1,SR1,3282-7798/98799-5330,LICEUVVELHA@ESCOLA.CE.GOV.BR,544460.36,9589756.56,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6519,POINT (-38.553368908341646 -3.7094249372445196),155,DOM HÉLIO CAMPOS,CENTRO EDUCACIONAL,F2/M,23070900,RUA SÃO RAIMUNDO,199,PIRAMBU,31,60311-030,4,1,1,SR1,3101-2264,DHCAMPOS@ESCOLA.CE.GOV.BR,549595.93,9589978.83,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_651a,POINT (-38.56474294126656 -3.708376766755274),156,LIONS JANGADA,EEMTI,M,23073136,RUA CAMÉLIA,352,CRISTO REDENTOR,12,60337-380,4,1,1,SR1,3101-5076,LJANGADA@ESCOLA.CE.GOV.BR,548332.94,9590095.32,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_651b,POINT (-38.56524113419703 -3.7055106139210534),157,MONSENHOR HÉLIO CAMPOS,CEJA,F2/M,23070919,AVENIDA MONS. HÉLIO CAMPOS,251,CRISTO REDENTOR,12,60336-800,4,1,1,SR1,3101-5089/3286-1680,MHCAMPOS@ESCOLA.CE.GOV.BR,548277.77,9590412.17,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_651c,POINT (-38.56644458989607 -3.7053471171188592),158,MARWIN,EEEP,M,23074159,AVENIDA MONS. HÉLIO CAMPOS,S/N,CRISTO REDENTOR,12,60336-800,4,1,1,SR1,3101-5088/3286-3318,MARVIN@ESCOLA.CE.GOV.BR,548144.14,9590430.31,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_651d,POINT (-38.56926767359837 -3.7030378785807074),159,SÃO JOSÉ DOS ARPOADORES,EEFM,F2/M,23072377,RUA DONA MENDINHA,90,BARRA DO CEARÁ,6,60876-670,3,1,1,SR1,3101-2694,JARPOADORES@ESCOLA.CE.GOV.BR,547830.77,9590685.72,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_651e,POINT (-38.57791435076297 -3.7042175115298814),160,ESTADO DE ALAGOAS,EEM,M,23068809,AVENIDA PRES. CASTELO BRANCO,5244,BARRA DO CEARÁ,6,60312-060,3,1,1,SR1,3101-2704,EALAGOAS@ESCOLA.CE.GOV.BR,546870.52,9590555.79,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_651f,POINT (-38.577731888903514 -3.6996761032826),161,FERNANDO CAVALCANTE MOTA,EEFM,F2/M,23070218,RUA DA SALEMA,85,BARRA DO CEARÁ,6,60332-410,3,1,1,SR1,3101-2705,CMOTA@ESCOLA.CE.GOV.BR,546891.02,9591057.77,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6520,POINT (-38.60110755725443 -3.7727961697154306),162,PROFESSOR CÉSAR CAMPELO,EEEP,M,23069040,RUA 717,S/N,CONJUNTO CEARÁ II,75,60531-700,38,5,3,SR11,3294-5288,UV5CCAMPELO@ESCOLA.CE.GOV.BR,544291.54,9582976.47,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6521,POINT (-38.523084292304574 -3.759294942516186),163,SÃO JOÃO PIAMARTA,EEM,M,23259639,AVENIDA AGUANAMBI,479,AEROPORTO,92,60055-400,18,4,3,SR4,3101-9336,SJPIAMARTA@ESCOLA.CE.GOV.BR,552955.96,9584464.52,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6522,POINT (-38.49846296845786 -3.7747141197511365),164,JAIME ALENCAR DE OLIVEIRA,EEEP,M,23244747,AVENIDA ROGACIANO LEITE,2285,LUCIANO CAVALCANTE,58,60810-475,24,2,2,SR7,3273-6853,EEEPJAIME.ALENCAR@ESCOLA.CE.GOV.BR,555688.96,9582758.57,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6523,POINT (-38.461464285935826 -3.728267809358836),165,MARIA ANGELA DA SILVEIRA BORGES,EEEP,M,23252391,RUA PINTOR ANTÔNIO BANDEIRA,S/N,VICENTE PINZÓN,37,60180-476,9,2,2,SR2,3248-8250,ANGELABORGES@ESCOLA.CE.GOV.BR,559800.44,9587890.27,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6524,POINT (-38.560481148607685 -3.8006126340475475),166,LEONEL DE MOURA BRIZOLA,EEEP,M,23252588,AVENIDA HOLANDA,1281,DENDÊ,77,60712-165,19,4,3,SR8,3101-3594/98729-5665,LEONELBRIZOLA@ESCOLA.CE.GOV.BR,548801.07,9579899.52,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_ParqueEscolarEstadual.fid--16360be6_1884ec8ee50_6525,POINT (-38.59329695601606 -3.807636865509057),167,DARCY RIBEIRO,EEEP,M,23246812,RUA CÔNEGO DE CASTRO,S/N,NOVO MONDUBIM,121,60763-433,34,4,3,SR10,3292-2326,DARCYRIBEIRO@ESCOLA.CE.GOV.BR,545157.01,9579124.86,SME,2021,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
